hitId,# submissions,# correct submissions,correctness rate
3MZ3TAMYTL8EWUHCQCY0W9T59TJRI3,5,0,0.0
3LAZVA75NIC7OWBU9HW4FYHJ9A32OV,5,4,0.8
3YLPJ8OXX8Y4LJ49EM2ORQ5A5S44XY,5,3,0.6
3FBEFUUYRKQ64T0UM03P4GEQ0836A3,83,54,0.6506024096385542
386T3MLZLNGX7UL0ND3UZOY4X7F80E,5,4,0.8
3XUSYT70ITM9OPHR4LEALGC58YCD0P,5,3,0.6
3KA7IJSNW6QJX9NR7A2U5RPDDLBPB0,5,5,1.0
37SDSEDIN9NXEJ6IJW7UDTHE2ZL81H,5,5,1.0
337F8MIIMZYWOTYYBADHICIZVLJ04Z,5,1,0.2
3R0WOCG21MUP4BT72SSUAN0COXIDUE,100,77,0.77
3V8JSVE8YYBBDQRC8O03JQOAKXTYEP,94,67,0.7127659574468085
3MIVREZQVHJ5QOS0D0UC4ZYD5B7QKD,5,3,0.6
3J06WJ78HN5BB7ITY32TCV822BUVVJ,100,81,0.81
3A3KKYU7P32509OPAL6YB183IHIMWH,5,5,1.0
37SOB9Z0SSIO3T4G0PUH6RIHKJYL38,5,4,0.8
3GITHABACY6P6BBI82WR09HEJ0Y2NG,5,2,0.4
3LVTFB9DE530O2WHN99X676KY4SGQM,100,88,0.88
3TD33TP5DLNCA5HPIRKXFW0IE9DABR,100,0,0.0
3XUSYT70ITM9OPHR4LEALGC588DD0A,100,0,0.0
33Q5P9PUSP7WLIH38JWR79X955JCZG,5,5,1.0
3FHTJGYT8NLFOQV2NWU862GAT86GPV,99,69,0.696969696969697
3VZYA8PITOJEKC2YPFWRN4ODVHE054,5,4,0.8
3NI0WFPPI91A3G2CUY6WFA2DRCP06K,5,5,1.0
3N3WJQXELSBZIB8XWPGCNHDPE5YL2X,5,5,1.0
3G3AJKPCXLDTLOUJJIOQA4CJ7YY4Y4,5,5,1.0
3QX22DUVOO2SLKOKKB12PZPPB8GMV7,5,2,0.4
3LXX8KJXPWUIOGWTUQBJPLPXFQEO9U,100,89,0.89
3WPCIUYH1ATA4YEI2N2K5REA5JBDTN,100,74,0.74
3APP19WN71Z7EKDX80VZ02PTY3FG6O,99,83,0.8383838383838383
3ZQX1VYFTDQIABDJPY55PPUMVKWO85,96,82,0.8541666666666666
311HQEI8RS1Q91M7H2OGRN5V44T7Z3,100,82,0.82
31ODACBENU03E758I93EVLPNMFLQSF,91,62,0.6813186813186813
3TRB893CSJVQIKR2RA0R6GPPTEZG7N,100,74,0.74
3X4Q1O9UBH7EAX80FTDZBPYRK0QO7I,98,0,0.0
32K26U12DN9PHQI77I2Z692V24RDV3,100,65,0.65
3CKVGCS3PGQFQE091B9ZGFY59BO0SS,100,85,0.85
